Sort1,Sort2,Sort3,ECDS_Group1,ECDS_Group2,ECDS_Group3,ECDS_Description,SNOMED_Code,SNOMED_Description
11,31,15,Soft tissue inj / wound,Bruise / contusion / abrasion,Face,Bruise / contusion / abrasion : face,125668004,Contusion of face (disorder)
11,31,17,Soft tissue inj / wound,Bruise / contusion / abrasion,Nose,Bruise / contusion / abrasion : nose,60897004,Contusion of nose (disorder)
11,31,19,Soft tissue inj / wound,Bruise / contusion / abrasion,Ear,Bruise / contusion / abrasion : ear,50228009,Contusion of ear (disorder)
11,31,31,Soft tissue inj / wound,Bruise / contusion / abrasion,Neck,Bruise / contusion / abrasion : neck ,274182009,Superficial injury of neck (disorder)
11,31,35,Soft tissue inj / wound,Bruise / contusion / abrasion,Thorax,Bruise / contusion / abrasion : thorax,274187003,Superficial injury of chest (disorder)
11,31,37,Soft tissue inj / wound,Bruise / contusion / abrasion,Back,Bruise / contusion / abrasion : back,274184005,Superficial injury of back (disorder)
11,31,41,Soft tissue inj / wound,Bruise / contusion / abrasion,Abdomen,Bruise / contusion / abrasion : abdomen,274183004,Superficial injury of abdominal wall (disorder)
11,31,45,Soft tissue inj / wound,Bruise / contusion / abrasion,Perineum,Bruise / contusion / abrasion : perineum,274188008,Superficial injury of perineum (disorder)
11,31,47,Soft tissue inj / wound,Bruise / contusion / abrasion,Pelvic region,Bruise / contusion / abrasion : pelvic region,283037009,Superficial injury of pelvic region (disorder)
11,31,51,Soft tissue inj / wound,Bruise / contusion / abrasion,Shoulder,Bruise / contusion / abrasion : shoulder,274191008,Superficial injury of shoulder (disorder)
11,31,53,Soft tissue inj / wound,Bruise / contusion / abrasion,Upper arm,Bruise / contusion / abrasion : upper arm,283031005,Superficial injury of upper arm (disorder)
11,31,55,Soft tissue inj / wound,Bruise / contusion / abrasion,Elbow,Bruise / contusion / abrasion : elbow  ,283032003,Superficial injury of elbow (disorder)
11,31,57,Soft tissue inj / wound,Bruise / contusion / abrasion,Forearm,Bruise / contusion / abrasion : forearm,283033008,Superficial injury of forearm (disorder)
11,31,59,Soft tissue inj / wound,Bruise / contusion / abrasion,Wrist,Bruise / contusion / abrasion : wrist,274192001,Superficial injury of wrist (disorder)
11,31,61,Soft tissue inj / wound,Bruise / contusion / abrasion,Hand,Bruise / contusion / abrasion : hand,283034002,Superficial injury of hand (disorder)
11,31,64,Soft tissue inj / wound,Bruise / contusion / abrasion,Thumb,Bruise / contusion / abrasion : thumb,274194000,Superficial injury of thumb (disorder)
11,31,68,Soft tissue inj / wound,Bruise / contusion / abrasion,Finger,Bruise / contusion / abrasion : finger,274193006,Superficial injury of finger (disorder)
11,31,71,Soft tissue inj / wound,Bruise / contusion / abrasion,Hip,Bruise / contusion / abrasion : hip,274196003,Superficial injury of hip (disorder)
11,31,75,Soft tissue inj / wound,Bruise / contusion / abrasion,Thigh,Bruise / contusion / abrasion : thigh,274198002,Superficial injury of thigh (disorder)
11,31,79,Soft tissue inj / wound,Bruise / contusion / abrasion,Knee,Bruise / contusion / abrasion : knee  ,283040009,Superficial injury of knee (disorder)
11,31,83,Soft tissue inj / wound,Bruise / contusion / abrasion,Lower leg,Bruise / contusion / abrasion : lower leg,283041008,Superficial injury of lower leg (disorder)
11,31,85,Soft tissue inj / wound,Bruise / contusion / abrasion,Ankle,Bruise / contusion / abrasion : ankle,274195004,Superficial injury of ankle (disorder)
11,31,87,Soft tissue inj / wound,Bruise / contusion / abrasion,Foot,Bruise / contusion / abrasion : foot,274199005,Superficial injury of foot (disorder)
11,31,89,Soft tissue inj / wound,Bruise / contusion / abrasion,Toe,Bruise / contusion / abrasion : toe,274200008,Superficial injury of toe (disorder)
11,41,11,Soft tissue inj / wound,Muscle injury,Neck,Muscle injury : neck ,360450007,Strain of neck muscle (disorder)
11,41,21,Soft tissue inj / wound,Muscle injury,Upper back,Muscle injury : upper back,812501000000108,Injury of muscle of upper back (disorder)
11,41,22,Soft tissue inj / wound,Muscle injury,Lower back,Muscle injury : lower back  ,737254001,Injury of muscle of lower back (disorder)
11,41,22,Soft tissue inj / wound,Muscle injury,Lower back,Muscle injury : lower back  ,813411000000100,injury of muscle of lower back (disorder)
11,41,31,Soft tissue inj / wound,Muscle injury,Shoulder,Muscle injury : shoulder,724905004,Injury of muscle at shoulder level (disorder)
11,41,31,Soft tissue inj / wound,Muscle injury,Shoulder,Muscle injury : shoulder,812471000000101,injury of muscle of shoulder (disorder)
11,41,32,Soft tissue inj / wound,Muscle injury,Upper arm,Muscle injury : upper arm,724908002,Injury of muscle at upper arm level (disorder)
11,41,32,Soft tissue inj / wound,Muscle injury,Upper arm,Muscle injury : upper arm,812511000000105,injury of muscle of upper arm (disorder)
11,41,33,Soft tissue inj / wound,Muscle injury,Forearm,Muscle injury : forearm,724940003,Injury of muscle at forearm level (disorder)
11,41,33,Soft tissue inj / wound,Muscle injury,Forearm,Muscle injury : forearm,812531000000102,injury of muscle of forearm (disorder)
11,41,34,Soft tissue inj / wound,Muscle injury,Hand,Muscle injury : hand,812721000000109,Injury of muscle of hand (disorder)
11,41,41,Soft tissue inj / wound,Muscle injury,Thigh,Muscle injury : thigh,812741000000102,Injury of muscle of thigh (disorder)
11,41,42,Soft tissue inj / wound,Muscle injury,Lower Leg,Muscle injury : lower leg,812751000000104,Injury of muscle of lower leg (disorder)
11,41,45,Soft tissue inj / wound,Muscle injury,Foot,Muscle injury : foot,812761000000101,Injury of muscle of foot (disorder)
11,51,11,Soft tissue inj / wound,Tendon injury,Shoulder joint,Tendon injury : shoulder joint,813331000000101,Injury of tendon of shoulder joint (disorder)
11,51,21,Soft tissue inj / wound,Tendon injury,Elbow joint,Tendon injury : elbow joint,813101000000105,Injury of tendon of elbow joint (disorder)
11,51,25,Soft tissue inj / wound,Tendon injury,Wrist joint,Tendon injury : wrist joint,813111000000107,Injury of tendon of wrist joint (disorder)
11,51,31,Soft tissue inj / wound,Tendon injury,Hand,Tendon injury : hand,262971000,Tendon injury - hand (disorder)
11,51,41,Soft tissue inj / wound,Tendon injury,Thumb,Tendon injury : thumb,813231000000107,Injury of tendon of thumb (disorder)
11,51,45,Soft tissue inj / wound,Tendon injury,Finger,Tendon injury : finger,813121000000101,Injury of tendon of finger (disorder)
11,51,51,Soft tissue inj / wound,Tendon injury,Patellar tendon,Tendon injury : patellar tendon,209508007,Strain of patellar tendon (disorder)
11,51,55,Soft tissue inj / wound,Tendon injury,Achilles tendon,Tendon injury : achilles tendon,22817005,Strain of Achilles tendon (disorder)
11,51,59,Soft tissue inj / wound,Tendon injury,Ankle,Tendon injury : ankle,828981000000104,Injury of tendon of ankle (disorder)
11,51,61,Soft tissue inj / wound,Tendon injury,Foot,Tendon injury : foot,813311000000109,Injury of tendon of foot (disorder)
11,51,71,Soft tissue inj / wound,Tendon injury,Toe,Tendon injury : toe,813321000000103,Injury of tendon of toe (disorder)
11,61,11,Soft tissue inj / wound,Crush injury,Head,Crush injury : head,262576002,Crushing injury of skull and intracranial contents (disorder)
11,61,15,Soft tissue inj / wound,Crush injury,Face,Crush injury : face,90465004,Crushing injury of face (disorder)
11,61,19,Soft tissue inj / wound,Crush injury,Traumatic asphyxiation,Traumatic asphyxiation,386732003,Traumatic asphyxiation (event)
11,61,21,Soft tissue inj / wound,Crush injury,Neck,Crush injury : neck,50001009,Crushing injury of neck (disorder)
11,61,31,Soft tissue inj / wound,Crush injury,Thorax,Crush injury : thorax,33847006,Crushing injury of chest (disorder)
11,61,35,Soft tissue inj / wound,Crush injury,Back,Crush injury : back,59038002,Crushing injury of back (disorder)
11,61,41,Soft tissue inj / wound,Crush injury,Abdomen,Crush injury : abdomen,68565009,Crushing injury of abdomen (disorder)
11,61,45,Soft tissue inj / wound,Crush injury,Pelvis,Crush injury : pelvis,283859007,Crush injury of pelvic region (disorder)
11,61,47,Soft tissue inj / wound,Crush injury,Hand,Crush injury : hand,50793006,Crushing injury of hand (disorder)
11,61,48,Soft tissue inj / wound,Crush injury,Thumb,Crush injury : thumb,283858004,Crush injury of thumb (disorder)
11,61,49,Soft tissue inj / wound,Crush injury,Finger,Crush injury : finger,10380004,Crushing injury of finger (disorder)
11,61,51,Soft tissue inj / wound,Crush injury,Shoulder,Crush injury : shoulder,2591000,Crushing injury of shoulder region (disorder)
11,61,53,Soft tissue inj / wound,Crush injury,Upper arm,Crush injury : upper arm,19180002,Crushing injury of upper arm (disorder)
11,61,55,Soft tissue inj / wound,Crush injury,Forearm,Crush injury : forearm,111693009,Crushing injury of forearm (disorder)
11,61,61,Soft tissue inj / wound,Crush injury,Thigh,Crush injury : thigh,74270009,Crushing injury of thigh (disorder)
11,61,63,Soft tissue inj / wound,Crush injury,Lower leg,Crush injury : lower leg,40874009,Crushing injury of lower leg (disorder)
11,61,65,Soft tissue inj / wound,Crush injury,Ankle,Crush injury : ankle,65896005,Crushing injury of ankle (disorder)
11,61,67,Soft tissue inj / wound,Crush injury,Foot,Crush injury : foot,43422002,Crushing injury of foot (disorder)
11,61,69,Soft tissue inj / wound,Crush injury,Toe,Crush injury : toe,74682007,Crushing injury of toe (disorder)
11,71,11,Soft tissue inj / wound,Degloving injury,Head,Degloving injury : head,82271004,Injury of head (disorder)
11,71,21,Soft tissue inj / wound,Degloving injury,Neck,Degloving injury : neck,283843007,Degloving injury of neck (disorder)
11,71,25,Soft tissue inj / wound,Degloving injury,Thorax,Degloving injury : thorax,210408006,Degloving injury chest wall (disorder)
11,71,31,Soft tissue inj / wound,Degloving injury,Back,Degloving injury : back,210417006,Degloving injury back (disorder)
11,71,34,Soft tissue inj / wound,Degloving injury,Abdomen,Degloving injury : abdomen,283846004,Degloving injury of abdomen (disorder)
11,71,38,Soft tissue inj / wound,Degloving injury,Perineum,Degloving injury : perineum,283848003,Degloving injury of perineum (disorder)
11,71,39,Soft tissue inj / wound,Degloving injury,Buttock,Degloving injury : buttock,210422006,Degloving injury buttock (disorder)
11,71,41,Soft tissue inj / wound,Degloving injury,Shoulder,Degloving injury : shoulder,210524009,"Degloving injury, shoulder area (disorder)"
11,71,45,Soft tissue inj / wound,Degloving injury,Upper arm,Degloving injury : upper arm,210527002,"Degloving injury, upper arm (disorder)"
11,71,47,Soft tissue inj / wound,Degloving injury,Forearm,Degloving injury : forearm,210553005,"Degloving injury, forearm (disorder)"
11,71,55,Soft tissue inj / wound,Degloving injury,Hand,Degloving injury : hand,210571003,Degloving injury of hand (disorder)
11,71,58,Soft tissue inj / wound,Degloving injury,Thumb,Degloving injury : thumb,210604001,Degloving injury of thumb (disorder)
11,71,59,Soft tissue inj / wound,Degloving injury,Finger,Degloving injury : finger,210597009,Degloving injury of finger (disorder)
11,71,67,Soft tissue inj / wound,Degloving injury,Thigh,Degloving injury : thigh,210678002,Degloving injury of thigh (disorder)
11,71,71,Soft tissue inj / wound,Degloving injury,Lower leg,Degloving injury : lower leg,210702006,Degloving injury of lower leg (disorder)
11,71,73,Soft tissue inj / wound,Degloving injury,Ankle,Degloving injury : ankle,210703001,"Degloving injury, ankle (disorder)"
11,71,77,Soft tissue inj / wound,Degloving injury,Foot,Degloving injury : foot,210720002,Degloving injury of foot (disorder)
11,71,79,Soft tissue inj / wound,Degloving injury,Toe,Degloving injury : toe,210732003,Degloving injury toe (disorder)
11,81,11,Soft tissue inj / wound,Burn,Head,Burn : head,262581006,Head burn (disorder)
11,81,15,Soft tissue inj / wound,Burn,Eye,Burn : eye,274205003,Burn of eye region (disorder)
11,81,21,Soft tissue inj / wound,Burn,Face,Burn : face,262582004,Burn of face (disorder)
11,81,23,Soft tissue inj / wound,Burn,Airway,Burn : airway,284188001,Burn of respiratory tract (disorder)
11,81,25,Soft tissue inj / wound,Burn,Neck,Burn : neck ,60713008,Burn of neck (disorder)
11,81,31,Soft tissue inj / wound,Burn,Trunk,Burn : trunk,52405000,Burn of trunk (disorder)
11,81,41,Soft tissue inj / wound,Burn,Perineum,Burn : perineum,284219006,Burn of perineum (disorder)
11,81,43,Soft tissue inj / wound,Burn,Buttock,burn : buttock,284223003,Burn of buttock (disorder)
11,81,51,Soft tissue inj / wound,Burn,Shoulder,Burn : shoulder,57143002,Burn of shoulder (disorder)
11,81,55,Soft tissue inj / wound,Burn,Upper arm,Burn : upper arm,14261008,Burn of upper arm (disorder)
11,81,57,Soft tissue inj / wound,Burn,Elbow,Burn : elbow,18084001,Burn of elbow (disorder)
11,81,61,Soft tissue inj / wound,Burn,Forearm,Burn : forearm,80827001,Burn of forearm (disorder)
11,81,65,Soft tissue inj / wound,Burn,Hand,Burn : hand,14893008,Burn of hand (disorder)
11,81,67,Soft tissue inj / wound,Burn,Thumb,Burn : thumb,64090007,Burn of thumb (disorder)
11,81,68,Soft tissue inj / wound,Burn,Finger,Burn : finger,31946005,Burn of two OR more fingers not including thumb (disorder)
11,81,71,Soft tissue inj / wound,Burn,Thigh,Burn : thigh,6132001,Burn of thigh (disorder)
11,81,73,Soft tissue inj / wound,Burn,Knee,Burn : knee,19684007,Burn of knee (disorder)
11,81,75,Soft tissue inj / wound,Burn,Lower Leg,Burn : lower leg,37696000,Burn of lower leg (disorder)
11,81,77,Soft tissue inj / wound,Burn,Foot,Burn : foot,11980003,Burn of foot (disorder)
11,81,79,Soft tissue inj / wound,Burn,Toe,Burn : toe,88374002,Burn of toe (disorder)
21,11,11,Fracture / dislocation,Closed fracture,Skull,Closed fracture : skull,371162008,Closed fracture of skull (disorder)
21,11,17,Fracture / dislocation,Closed fracture,Nose,Closed fracture : nose,81639003,Closed fracture of nasal bones (disorder)
21,11,18,Fracture / dislocation,Closed fracture,Facial bones / mandible,Closed fracture : facial bones / mandible,430984009,Closed fracture of facial bone (disorder)
21,11,25,Fracture / dislocation,Closed fracture,Sternum,Closed fracture : sternum,66112004,Closed fracture of sternum (disorder)
21,11,27,Fracture / dislocation,Closed fracture,Rib (s),Closed fracture : rib,60667009,Closed fracture of rib (disorder)
21,11,31,Fracture / dislocation,Closed fracture,Cervical spine,Closed fracture : cervical spine ,269062008,Closed fracture of cervical spine (disorder)
21,11,32,Fracture / dislocation,Closed fracture,Thoracic spine,Closed fracture : thoracic spine,207938004,Closed fracture thoracic vertebra (disorder)
21,11,33,Fracture / dislocation,Closed fracture,Lumbar spine,Closed fracture : lumbar spine,207957008,Closed fracture lumbar vertebra (disorder)
21,11,35,Fracture / dislocation,Closed fracture,Pubic rami,Closed fracture : pubic rami,13695006,Fracture of pubic rami (disorder)
21,11,37,Fracture / dislocation,Closed fracture,Sacrum,Closed fracture : sacrum,207974008,Closed fracture sacrum (disorder)
21,11,38,Fracture / dislocation,Closed fracture,Coccyx,Closed fracture : coccyx,766775007,Closed fracture of coccyx (disorder)
21,11,38,Fracture / dislocation,Closed fracture,Coccyx,Closed fracture : coccyx,207980000,"Closed fracture pelvis, coccyx (disorder)"
21,11,39,Fracture / dislocation,Closed fracture,Pelvis,Closed fracture : pelvis,91037003,Closed fracture of pelvis (disorder)
21,11,41,Fracture / dislocation,Closed fracture,Clavicle,Closed fracture : clavicle,33173003,Closed fracture of clavicle (disorder)
21,11,43,Fracture / dislocation,Closed fracture,Scapula,Closed fracture : scapula,29749002,Closed fracture of scapula (disorder)
21,11,45,Fracture / dislocation,Closed fracture,Humerus,Closed fracture : humerus,43295006,Closed fracture of humerus (disorder)
21,11,49,Fracture / dislocation,Closed fracture,Elbow,Closed fracture : elbow joint,302222008,Elbow fracture - closed (disorder)
21,11,51,Fracture / dislocation,Closed fracture,Radius,Closed fracture : radius,111640008,Closed fracture of radius (disorder)
21,11,53,Fracture / dislocation,Closed fracture,Ulna,Closed fracture : ulna,71555008,Closed fracture of ulna (disorder)
21,11,55,Fracture / dislocation,Closed fracture,Radius AND ulna,Closed fracture : radius AND ulna,53627009,Closed fracture of radius and ulna (disorder)
21,11,58,Fracture / dislocation,Closed fracture,Monteggia (frac ulna : disloc rad),Closed fracture : Monteggia (frac ulna : disloc rad),29045004,Closed Monteggia's fracture (disorder)
21,11,59,Fracture / dislocation,Closed fracture,Galeazzi (frac rad : disloc ulna) ,Closed fracture : Galeazzi (frac rad : disloc ulna) ,208322000,Closed Galeazzi fracture (disorder)
21,11,60,Fracture / dislocation,Closed fracture,Scaphoid,Closed fracture : scaphoid,208371005,"Closed fracture scaphoid, waist, transverse (disorder)"
21,11,61,Fracture / dislocation,Closed fracture,Carpal bones,Closed fracture : carpal bones,9468002,Closed fracture of carpal bone (disorder)
21,11,65,Fracture / dislocation,Closed fracture,Hand,Closed fracture : hand,208394006,Closed fracture of metacarpal bone (disorder)
21,11,67,Fracture / dislocation,Closed fracture,Thumb metacarpal,Closed fracture : thumb metacarpal,208403005,Closed fracture of thumb metacarpal (disorder)
21,11,68,Fracture / dislocation,Closed fracture,Thumb phalanx,Closed fracture : thumb phalanx,704213001,Closed fracture of phalanx of thumb (disorder)
21,11,69,Fracture / dislocation,Closed fracture,Finger,Closed fracture : finger,24424003,Closed fracture of phalanx of finger (disorder)
21,11,71,Fracture / dislocation,Closed fracture,Hip (NoF),Closed fracture : hip (NoF),359817006,Closed fracture of hip (disorder)
21,11,75,Fracture / dislocation,Closed fracture,Femur (not NoF),Closed fracture : femur (not NoF),25415003,Closed fracture of femur (disorder)
21,11,78,Fracture / dislocation,Closed fracture,Knee,Closed fracture : knee,428151000,Closed fracture of bone of knee joint (disorder)
21,11,79,Fracture / dislocation,Closed fracture,Patella,Closed fracture : patella,80756009,Closed fracture of patella (disorder)
21,11,81,Fracture / dislocation,Closed fracture,Tibia (not ankle),Closed fracture : tibia (not ankle),447139008,Closed fracture of tibia (disorder)
21,11,83,Fracture / dislocation,Closed fracture,Fibula (not ankle),Closed fracture : fibula (not ankle),447395005,Closed fracture of fibula (disorder)
21,11,85,Fracture / dislocation,Closed fracture,Tibia AND fibula (not ankle),Closed fracture : tibia AND fibula (not ankle),413877007,Closed fracture of tibia and fibula (disorder)
21,11,89,Fracture / dislocation,Closed fracture,Ankle,Closed fracture : ankle,42188001,Closed fracture of ankle (disorder)
21,11,91,Fracture / dislocation,Closed fracture,Heel,Closed fracture : heel,64665009,Closed fracture of calcaneus (disorder)
21,11,93,Fracture / dislocation,Closed fracture,Foot,Closed fracture : foot,342070009,Closed fracture of foot (disorder)
21,11,97,Fracture / dislocation,Closed fracture,Toe,Closed fracture : toe,81576005,Closed fracture of phalanx of foot (disorder)
21,21,11,Fracture / dislocation,Open fracture,Skull,Open fracture : skull,371161001,Open fracture of skull (disorder)
21,21,18,Fracture / dislocation,Open fracture,Facial bones / mandible,Open fracture : facial bones / mandible,111609001,Open fracture of facial bones (disorder)
21,21,21,Fracture / dislocation,Open fracture,Nose,Open fracture : nose,40613008,Open fracture of nasal bones (disorder)
21,21,25,Fracture / dislocation,Open fracture,Sternum,Open fracture : sternum,87225004,Open fracture of sternum (disorder)
21,21,27,Fracture / dislocation,Open fracture,Rib (s),Open fracture : rib (s),45910007,Open fracture of rib (disorder)
21,21,31,Fracture / dislocation,Open fracture,Cervical spine,Open fracture : cervical spine ,269070003,Open fracture of cervical spine (disorder)
21,21,32,Fracture / dislocation,Open fracture,Thoracic spine,Open fracture : thoracic spine,207949005,Open fracture thoracic vertebra (disorder)
21,21,33,Fracture / dislocation,Open fracture,Lumbar spine,Open fracture : lumbar spine,207965006,Open fracture lumbar vertebra (disorder)
21,21,36,Fracture / dislocation,Open fracture,Sacrum,Open fracture : sacrum,207977001,Open fracture sacrum (disorder)
21,21,37,Fracture / dislocation,Open fracture,Coccyx,Open fracture : coccyx,767262002,Open fracture of coccyx (disorder)
21,21,39,Fracture / dislocation,Open fracture,Pelvis,Open fracture : pelvis,15474008,Open fracture of pelvis (disorder)
21,21,41,Fracture / dislocation,Open fracture,Clavicle,Open fracture : clavicle,111637008,Open fracture of clavicle (disorder)
21,21,43,Fracture / dislocation,Open fracture,Scapula,Open fracture : scapula,47864008,Open fracture of scapula (disorder)
21,21,45,Fracture / dislocation,Open fracture,Humerus,Open fracture : humerus,89294002,Open fracture of humerus (disorder)
21,21,49,Fracture / dislocation,Open fracture,Elbow,Open fracture : elbow joint,302232001,Elbow fracture - open (disorder)
21,21,51,Fracture / dislocation,Open fracture,Radius,Open fracture : radius,42945005,Open fracture of radius (disorder)
21,21,53,Fracture / dislocation,Open fracture,Ulna,Open fracture : ulna,37449000,Open fracture of ulna (disorder)
21,21,56,Fracture / dislocation,Open fracture,Radius AND ulna,Open fracture : radius AND ulna,81966000,Open fracture of radius and ulna (disorder)
21,21,58,Fracture / dislocation,Open fracture,Monteggia (frac ulna : disloc rad),Open fracture : Monteggia (frac ulna : disloc rad),34578006,Open Monteggia's fracture (disorder)
21,21,59,Fracture / dislocation,Open fracture,Galeazzi (frac rad : disloc ulna),Open fracture : Galeazzi (frac rad : disloc ulna),208341002,Open Galeazzi fracture (disorder)
21,21,60,Fracture / dislocation,Open fracture,Carpal bones (wrist),Open fracture : carpal bones,29014003,Open fracture of carpal bone (disorder)
21,21,61,Fracture / dislocation,Open fracture,Hand,Open fracture : hand,1370007,Open fracture of metacarpal bone (disorder)
21,21,65,Fracture / dislocation,Open fracture,Thumb metacarpal,Open fracture : thumb metacarpal,208420009,Open fracture of thumb metacarpal (disorder)
21,21,66,Fracture / dislocation,Open fracture,Thumb phalanx,Open fracture : thumb phalanx,704236005,Open fracture of phalanx of thumb (disorder)
21,21,67,Fracture / dislocation,Open fracture,Finger,Open fracture : finger,21698002,Open fracture of phalanx of finger (disorder)
21,21,69,Fracture / dislocation,Open fracture,Hip (NoF),Open fracture : hip (NoF),361118003,Open fracture of hip (disorder)
21,21,71,Fracture / dislocation,Open fracture,Femur (not NoF),Open fracture : femur,28576007,Open fracture of femur (disorder)
21,21,75,Fracture / dislocation,Open fracture,Knee,Open fracture : knee,428019004,Open fracture of bone of knee joint (disorder)
21,21,78,Fracture / dislocation,Open fracture,Patella,Open fracture : patella,111643005,Open fracture of patella (disorder)
21,21,81,Fracture / dislocation,Open fracture,Tibia (not ankle),Open fracture : tibia (not ankle),446979005,Open fracture of tibia (disorder)
21,21,83,Fracture / dislocation,Open fracture,Fibula (not ankle),Open fracture : fibula (not ankle),447017008,Open fracture of fibula (disorder)
21,21,85,Fracture / dislocation,Open fracture,Tibia AND fibula,Open fracture : tibia AND fibula (not ankle),414943006,Open fracture of tibia and fibula (disorder)
21,21,89,Fracture / dislocation,Open fracture,Ankle,Open fracture : ankle,48187004,Open fracture of ankle (disorder)
21,21,91,Fracture / dislocation,Open fracture,Calcaneum,Open fracture : calcaneum,24948002,Open fracture of calcaneus (disorder)
21,21,93,Fracture / dislocation,Open fracture,Foot,Open fracture : foot,367527001,Open fracture of foot (disorder)
21,21,97,Fracture / dislocation,Open fracture,Toe,Open fracture : toe,74395007,Open fracture of phalanx of foot (disorder)
