Sort1,Sort2,Sort3,ECDS_Group,ECDS_Description,SNOMED_Code,SNOMED_Description
91,31,10,Psychosocial / Behaviour change,Self-harm,248062006,Self-injurious behavior (finding)
91,41,10,Psychosocial / Behaviour change,Depressive feelings,272022009,Complaining of feeling depressed (finding)
91,61,10,Psychosocial / Behaviour change,Feeling anxious,48694002,Anxiety (finding)
91,81,10,Psychosocial / Behaviour change,Behaviour : unusual,248020004,Bizarre behavior (finding)
91,82,10,Psychosocial / Behaviour change,Behaviour : agitated / violent,248004009,Physical aggression (finding)
91,91,10,Psychosocial / Behaviour change,Hallucinations / delusions,7011001,Hallucinations (finding)
97,11,10,General / minor / admin,Fever,386661006,Fever (finding)
97,21,10,General / minor / admin,Hyperglycaemia,80394007,Hyperglycemia (disorder)
97,25,10,General / minor / admin,Hypoglycaemia,302866003,Hypoglycemia (disorder)
97,31,10,General / minor / admin,Postoperative / wound care (no complication),225358003,Wound care (regime/therapy)
97,35,10,General / minor / admin,Postoperative / medical device with complication,385486001,Postoperative complication (disorder)
97,51,10,General / minor / admin,Crying infant,162214009,Crying infant (finding)
97,61,10,General / minor / admin,Generalised weakness,13791008,Asthenia (finding)
97,64,10,General / minor / admin,Pale colour,398979000,Pale complexion (finding)
97,69,10,General / minor / admin,Blue colour (cyanosis),3415004,Cyanosis (finding)
97,81,10,General / minor / admin,Social problem (medically well),161152002,Social problem (finding)
97,85,10,General / minor / admin,Direct referral to inpatient unit,78680009,"Hospital admission, emergency, direct (procedure)"
97,89,10,General / minor / admin,Requesting prescription,182888003,Medication requested (situation)
97,91,10,General / minor / admin,"Asymptomatic, no symptoms ",84387000,Asymptomatic (finding)
11,13,11,Not applicable to child terms,Not applicable to child terms,248573009,Noisy respiration (finding)
21,23,11,Not applicable to child terms,Not applicable to child terms,386705008,Lightheadedness (finding)
21,23,21,Not applicable to child terms,Not applicable to child terms,271787007,Collapse (finding)
21,24,11,Not applicable to child terms,Not applicable to child terms,419045004,Loss of consciousness (finding)
21,24,21,Not applicable to child terms,Not applicable to child terms,309585006,Syncope and collapse (disorder)
21,36,11,Not applicable to child terms,Not applicable to child terms,449614009,Swelling of lower limb (finding)
21,36,21,Not applicable to child terms,Not applicable to child terms,449615005,Swelling of lower leg (finding)
31,33,11,Not applicable to child terms,Not applicable to child terms,405729008,Hematochezia (finding)
31,33,21,Not applicable to child terms,Not applicable to child terms,161539004,History of melena (situation)
35,27,11,Not applicable to child terms,Not applicable to child terms,271782001,Drowsy (finding)
35,41,11,Not applicable to child terms,Not applicable to child terms,29164008,Disturbance in speech (finding)
35,65,11,Not applicable to child terms,Not applicable to child terms,91019004,Paresthesia (finding)
35,75,11,Not applicable to child terms,Not applicable to child terms,161898004,Falls (finding)
35,75,21,Not applicable to child terms,Not applicable to child terms,249990003,Unsteady when standing (finding)
35,75,31,Not applicable to child terms,Not applicable to child terms,430576002,At risk for injury due to fall (finding)
41,32,11,Not applicable to child terms,Not applicable to child terms,276438008,Swelling / lump finding (finding)
41,32,21,Not applicable to child terms,Not applicable to child terms,247441003,Erythema (finding)
41,71,11,Not applicable to child terms,Not applicable to child terms,93458008,Foreign body in skin (disorder)
51,13,11,Not applicable to child terms,Not applicable to child terms,27355003,Toothache (finding)
51,21,11,Not applicable to child terms,Not applicable to child terms,16001004,Otalgia (finding)
51,71,11,Not applicable to child terms,Not applicable to child terms,25479004,Foreign body in pharynx (disorder)
61,21,11,Not applicable to child terms,Not applicable to child terms,282760004,Clavicle injury (disorder)
61,21,15,Not applicable to child terms,Not applicable to child terms,125594001,Injury of shoulder region (disorder)
61,21,21,Not applicable to child terms,Not applicable to child terms,125595000,Injury of upper arm (disorder)
61,21,31,Not applicable to child terms,Not applicable to child terms,125596004,Injury of elbow (disorder)
61,21,41,Not applicable to child terms,Not applicable to child terms,125597008,Injury of forearm (disorder)
61,21,51,Not applicable to child terms,Not applicable to child terms,125598003,Injury of wrist (disorder)
61,21,61,Not applicable to child terms,Not applicable to child terms,125599006,Injury of hand (disorder)
61,21,71,Not applicable to child terms,Not applicable to child terms,52011008,Injury of finger (disorder)
61,21,81,Not applicable to child terms,Not applicable to child terms,262520005,Thumb injury (disorder)
61,31,11,Not applicable to child terms,Not applicable to child terms,125600009,Injury of hip region (disorder)
61,31,21,Not applicable to child terms,Not applicable to child terms,7523003,Injury of thigh (disorder)
61,31,31,Not applicable to child terms,Not applicable to child terms,125601008,Injury of knee (disorder)
61,31,41,Not applicable to child terms,Not applicable to child terms,125602001,Injury of lower leg (disorder)
61,31,51,Not applicable to child terms,Not applicable to child terms,125603006,Injury of ankle (disorder)
61,31,61,Not applicable to child terms,Not applicable to child terms,125604000,Injury of foot (disorder)
61,31,65,Not applicable to child terms,Not applicable to child terms,282780003,Heel injury (disorder)
61,31,71,Not applicable to child terms,Not applicable to child terms,282776008,Injury of toe (disorder)
61,41,11,Not applicable to child terms,Not applicable to child terms,282770002,Injury of ribs (disorder)
61,41,21,Not applicable to child terms,Not applicable to child terms,432754003,Injury of sternum (disorder)
61,41,31,Not applicable to child terms,Not applicable to child terms,65978000,Injury of chest wall (disorder)
61,53,11,Not applicable to child terms,Not applicable to child terms,45326000,Shoulder pain (finding)
61,53,21,Not applicable to child terms,Not applicable to child terms,1088071000000108,Pain in upper arm (finding)
61,53,31,Not applicable to child terms,Not applicable to child terms,74323005,Pain in elbow (finding)
61,53,41,Not applicable to child terms,Not applicable to child terms,444899003,Pain in forearm (finding)
61,53,51,Not applicable to child terms,Not applicable to child terms,56608008,Pain in wrist (finding)
61,53,61,Not applicable to child terms,Not applicable to child terms,53057004,Hand pain (finding)
61,53,71,Not applicable to child terms,Not applicable to child terms,18876004,Pain in finger (finding)
61,53,81,Not applicable to child terms,Not applicable to child terms,300955002,Pain in thumb (finding)
61,61,11,Not applicable to child terms,Not applicable to child terms,49218002,Hip pain (finding)
61,61,21,Not applicable to child terms,Not applicable to child terms,78514002,Thigh pain (finding)
61,61,31,Not applicable to child terms,Not applicable to child terms,30989003,Knee pain (finding)
61,61,41,Not applicable to child terms,Not applicable to child terms,300954003,Pain in calf (finding)
61,61,51,Not applicable to child terms,Not applicable to child terms,247373008,Ankle pain (finding)
61,61,61,Not applicable to child terms,Not applicable to child terms,47933007,Foot pain (finding)
61,61,65,Not applicable to child terms,Not applicable to child terms,2733002,Heel pain (finding)
61,61,71,Not applicable to child terms,Not applicable to child terms,285365001,Pain in toe (finding)
71,13,11,Not applicable to child terms,Not applicable to child terms,162116003,Increased frequency of urination (finding)
71,15,11,Not applicable to child terms,Not applicable to child terms,718403007,Decreased urine output (finding)
71,22,11,Not applicable to child terms,Not applicable to child terms,63901009,Pain in testicle (finding)
71,41,11,Not applicable to child terms,Not applicable to child terms,274743004,Swelling of inguinal region (finding)
71,61,11,Not applicable to child terms,Not applicable to child terms,279020002,Pain in male genitalia (finding)
71,61,21,Not applicable to child terms,Not applicable to child terms,162143008,Pain in female genitalia (finding)
71,62,11,Not applicable to child terms,Not applicable to child terms,282772005,Genital injury (disorder)
75,31,11,Not applicable to child terms,Not applicable to child terms,301822002,Abnormal vaginal bleeding (finding)
81,31,11,Not applicable to child terms,Not applicable to child terms,418723004,Effects of direct lightning strike (disorder)
81,71,11,Not applicable to child terms,Not applicable to child terms,444107005,Exposure to communicable disease (event)
81,71,21,Not applicable to child terms,Not applicable to child terms,283596007,Needle stick injury (disorder)
81,85,11,Not applicable to child terms,Not applicable to child terms,426936004,Smoke inhalation injury (disorder)
91,11,11,Not applicable to child terms,Not applicable to child terms,18653004,Alcohol intoxication delirium (disorder)
91,11,31,Not applicable to child terms,Not applicable to child terms,191480000,Alcohol withdrawal syndrome (disorder)
91,11,41,Not applicable to child terms,Not applicable to child terms,363101005,Drug withdrawal (disorder)
91,41,11,Not applicable to child terms,Not applicable to child terms,6471006,Suicidal thoughts (finding)
91,41,21,Not applicable to child terms,Not applicable to child terms,267073005,Suicidal (finding)
91,81,11,Not applicable to child terms,Not applicable to child terms,427797008,Unusual change in behavior (finding)
91,82,11,Not applicable to child terms,Not applicable to child terms,24199005,Feeling agitated (finding)
91,91,11,Not applicable to child terms,Not applicable to child terms,2073000,Delusions (finding)
97,31,21,Not applicable to child terms,Not applicable to child terms,410379003,Dressing change/wound care surveillance (regime/therapy)
97,31,31,Not applicable to child terms,Not applicable to child terms,226007004,Post-surgical wound care (regime/therapy)
97,35,11,Not applicable to child terms,Not applicable to child terms,473023007,Complication associated with device (disorder)
97,69,11,Not applicable to child terms,Not applicable to child terms,162743000,Blue lips (finding)
99,11,11,Not applicable to child terms,Not applicable to child terms,288945004,Difficulty swallowing food (finding)
